"Stemming, m",Charge Per Hole,"Average Spacing, m","Average Burden, m","Diameter, mm"
3.65,9.556761364,5.15,4.25,152
3.55,9.428630952,5.5,4.4,152
3.6,9.494186047,5.3,4.15,152
3.4,9.64060241,5.2,4.3,152
3.3,9.837349398,5.3,4.2,152
3.35,9.817440476,5.25,4.15,152
4,6.998571429,5,4,152
3.8,7.465142857,5.2,4,152
3.75,9.125588235,5.75,4,152
3.9,7.231857143,5,4,152
3.9,9.253666667,5.8,4,152
4,9.072222222,5.7,4,152
3.85,9.185625,5.6,4,152
3.2,9.362533333,5,4,152
3.1,10.64202247,5.5,4,152
3.5,9.979444444,6,4,152
3,10.39181818,6.5,4,152
3.1,9.347517241,5,4,152
3.1,10.23084337,6.5,4,152
3.1,10.70522222,6.7,4,152
3.2,10.39181818,6.2,4,152
3.3,10.34233333,6.1,4,152
3.3,10.34233333,6.3,4,152
3.2,9.362533333,6.2,4,152
3.3,9.837349398,6,4,152
3.4,8.927066667,5.3,4,152
3.4,10.16088889,6.3,4,152
3.6,9.798,6,4,152
3.8,8.056133333,5,4,152
3.7,9.221647059,5.8,4,152
3.3,10.34233333,6.1,4,152
3.5,10.04923077,6.4,4,152
3.3,9.837349398,6.5,4,152
3.3,10.34233333,6.3,4,152
3.3,10.17125714,6.25,4,152
3.3,10.17125714,6.5,4,152
3.3,10.34233333,6.6,4,152
3.2,9.362533333,6,4,152
3.7,9.616555556,5.7,4.25,152
3.6,9.798,5.5,4.25,152
3.6,9.798,5.4,4.3,152
3.6,8.221310345,5.2,4,152
3.5,9.979444444,5.8,4,152
3.4,10.48557895,6.8,4,152
3.5,10.04923077,6,4,152
3.5,9.798,6,4,152
3.5,9.979444444,6.2,4,152
3.3,10.34233333,6.1,4,152
3.6,9.611371429,6.3,4,152
3.5,10.31368421,6.25,4,152
3.4,8.927066667,5.9,4,152
3.4,9.38975,5.9,4,152
3.4,10.16088889,6.3,4,152
3.7,9.616555556,6.2,4,152
3,6.037058824,4.2,3.1,115
3,6.112758621,4.15,3.2,115
3.2,5.064857143,4.1,3.2,115
3,5.874444444,4.2,3.2,115
3.1,5.759259259,4.3,3.3,115
3,5.786962025,4.1,3,115
3,5.83125,4,3,115
3.1,5.886785714,4.1,3.1,115
3,5.874444444,4.25,3.15,115
3.1,5.802804878,4.2,3.2,115
3,5.997857143,4.1,3.2,115
3.05,5.816851852,4.15,3.25,115
2.9,5.905063291,4.2,3.1,115
2.95,6.091941176,4.25,3.15,115
2.9,6.255340909,4.15,3.2,115
2.85,6.087256098,4.05,3,115
3,5.83125,4.2,3.15,115
2.95,5.932037037,4.25,3.1,115
3,5.957710843,4.15,3.15,115
3,5.741538462,4.05,3.05,115
2.85,6.047222222,4.15,3,115
3.1,5.845301205,4.2,3.2,115
3,6.075348837,4.1,3,115
3,6.112758621,4.15,3.15,115
2.9,6.108928571,4.3,3.1,115
3.2,5.775714286,4.1,3.2,115
3,6.037058824,4.2,3.15,115
2.9,6.356703297,4.3,3.05,115
3,5.997857143,4.25,3.1,115
3.2,5.598,4.1,3.2,115
2.8,6.18253012,4,3.7,115
2.8,5.892631579,3.9,3,115
3,5.83125,4.2,3.2,115
3,6.149318182,4.3,3.2,115
3.2,6.012666667,4.2,3.2,115
3.3,5.791034483,4.3,3.3,115
3,5.997857143,4.2,3.1,115
3.2,5.858372093,4.3,3.3,115
3.2,5.937272727,4.2,3.3,115
3.1,5.886785714,4.3,3.3,115
3,5.957710843,4.2,3.1,115
3,6.075348837,4.25,3.15,115
3,5.997857143,4.3,3.2,115
3.2,5.858372093,4.3,3.4,115
3.3,5.707764706,4.2,3.3,115
2.8,6.104814815,4.1,3.2,115
3,5.874444444,4.3,3.1,115
3.2,5.68902439,4.1,3.2,115
3,5.957710843,4.3,3.15,115
3,5.916585366,4.25,3.1,115
3.2,5.732891566,4,3.2,115
3,5.874444444,4.2,3.1,115
3.1,5.759259259,4.05,3.2,115
3,5.83125,4.2,3.3,115
3.1,5.966860465,4.4,3.3,115
3.05,10.25603659,4.95,4.65,152
3.45,9.542228916,5.4,4.2,152
3.5,9.359878049,5.2,4.15,152
3.7,9.798,5.1,4.6,152
3.3,9.677037037,5.05,4.25,152
3.25,9.6959375,5.05,4,152
3,10.35560976,5.1,4.4,152
3,10.35560976,5.2,4.2,152
3.15,10.41741379,5,4.35,152
3.4,9.94816092,5.2,4.15,152
3.05,10.67017045,5.15,4.05,152
3.4,9.38975,5.2,4.3,152
3.4,9.64060241,5.4,4.4,152
3.55,9.888722222,5.5,4.3,152
3.05,10.1041875,5,4.1,152
3.4,9.55902439,5.2,4.2,152
3.4,9.517484663,5.2,4.4,152
3.8,9.585,5.1,4.6,152
3.7,9.13702381,5.5,4.4,152
3.7,9.69032967,5.1,4.5,152
3.7,9.616555556,5.2,4.35,152
3.3,5.791034483,4.3,3.3,115
3,6.075348837,4.2,3.1,115
3.2,5.898275862,4.1,3.2,115
3.3,5.481375,4.2,3.3,115
3.1,5.845301205,4.3,3.2,115
3,5.997857143,4.5,3.3,115
3.5,5.701666667,4.4,3.5,115
3,6.112758621,4.3,3.2,115
3.1,5.621923077,4.2,3.1,115
3.4,5.553571429,4.1,3.4,115
3.2,5.644074074,4.2,3.3,115
3.2,5.817529412,4.3,3.2,115
3,5.874444444,4.2,3.1,115
3,5.521836735,4.2,3.5,115
3.4,5.36475,4.3,3.4,115
3.3,5.481375,4.3,3.3,115
3,6.037058824,4.3,3.2,115
3.4,5.461463415,4.2,3.4,115
3,6.037058824,4.25,3.15,115
3.2,5.775714286,4.35,3.25,115
3,6.075348837,4.3,3.1,115
3,5.786962025,4.15,3.05,115
3,6.149318182,4.2,3.05,115
